Source,Type,Target,Weight
Бургомистр,Undirected,Восьмой муж,6
Бургомистр,Undirected,Врач,15
Бургомистр,Undirected,Вторая женщина,6
Бургомистр,Undirected,Второй,25
Бургомистр,Undirected,Второй газетчик,5
Бургомистр,Undirected,Гимнаст,10
Бургомистр,Undirected,Госпожа Илл,9
Бургомистр,Undirected,Дворецкий Боби,19
Бургомистр,Undirected,Девятый муж,1
Бургомистр,Undirected,Дочь Илла,4
Бургомистр,Undirected,Илл,28
Бургомистр,Undirected,Клара Цаханассьян,23
Бургомистр,Undirected,Коби,2
Бургомистр,Undirected,Кондуктор,2
Бургомистр,Undirected,Лоби,2
Бургомистр,Undirected,Моби,7
Бургомистр,Undirected,Начальник поезда,2
Бургомистр,Undirected,Начальник станции,15
Бургомистр,Undirected,Первая женщина,11
Бургомистр,Undirected,Первый,19
Бургомистр,Undirected,Первый газетчик,5
Бургомистр,Undirected,Полицейский,20
Бургомистр,Undirected,Радиокомментатор,4
Бургомистр,Undirected,Роби,7
Бургомистр,Undirected,Священник,23
Бургомистр,Undirected,Судебный исполнитель,1
Бургомистр,Undirected,Сын Илла,4
Бургомистр,Undirected,Тоби,7
Бургомистр,Undirected,Третий,27
Бургомистр,Undirected,Учитель,22
Бургомистр,Undirected,Фотокорреспонденты,4
Бургомистр,Undirected,Хор,7
Бургомистр,Undirected,Художник,15
Бургомистр,Undirected,Четвертый,25
Восьмой муж,Undirected,Вторая женщина,1
Восьмой муж,Undirected,Второй,1
Восьмой муж,Undirected,Дворецкий Боби,8
Восьмой муж,Undirected,Илл,11
Восьмой муж,Undirected,Клара Цаханассьян,12
Восьмой муж,Undirected,Первая женщина,1
Восьмой муж,Undirected,Первый,1
Восьмой муж,Undirected,Полицейский,1
Восьмой муж,Undirected,Роби,1
Восьмой муж,Undirected,Священник,2
Восьмой муж,Undirected,Тоби,1
Восьмой муж,Undirected,Третий,2
Врач,Undirected,Вторая женщина,6
Врач,Undirected,Второй,15
Врач,Undirected,Второй газетчик,5
Врач,Undirected,Гимнаст,9
Врач,Undirected,Госпожа Илл,8
Врач,Undirected,Дворецкий Боби,9
Врач,Undirected,Девятый муж,1
Врач,Undirected,Дочь Илла,4
Врач,Undirected,Илл,11
Врач,Undirected,Клара Цаханассьян,11
Врач,Undirected,Коби,1
Врач,Undirected,Кондуктор,2
Врач,Undirected,Лоби,1
Врач,Undirected,Начальник станции,6
Врач,Undirected,Первая женщина,10
Врач,Undirected,Первый,15
Врач,Undirected,Первый газетчик,5
Врач,Undirected,Полицейский,15
Врач,Undirected,Радиокомментатор,4
Врач,Undirected,Роби,5
Врач,Undirected,Священник,13
Врач,Undirected,Сын Илла,4
Врач,Undirected,Тоби,5
Врач,Undirected,Третий,15
Врач,Undirected,Учитель,13
Врач,Undirected,Фотокорреспонденты,4
Врач,Undirected,Хор,3
Врач,Undirected,Художник,6
Врач,Undirected,Четвертый,15
Вторая женщина,Undirected,Второй,9
Вторая женщина,Undirected,Второй газетчик,4
Вторая женщина,Undirected,Госпожа Илл,5
Вторая женщина,Undirected,Дворецкий Боби,6
Вторая женщина,Undirected,Девятый муж,1
Вторая женщина,Undirected,Дочь Илла,4
Вторая женщина,Undirected,Илл,7
Вторая женщина,Undirected,Клара Цаханассьян,6
Вторая женщина,Undirected,Кондуктор,2
Вторая женщина,Undirected,Луиза,1
Вторая женщина,Undirected,Начальник станции,6
Вторая женщина,Undirected,Первая женщина,11
Вторая женщина,Undirected,Первый,11
Вторая женщина,Undirected,Первый газетчик,4
Вторая женщина,Undirected,Полицейский,6
Вторая женщина,Undirected,Радиокомментатор,4
Вторая женщина,Undirected,Роби,2
Вторая женщина,Undirected,Священник,4
Вторая женщина,Undirected,Сын Илла,4
Вторая женщина,Undirected,Тоби,3
Вторая женщина,Undirected,Третий,6
Вторая женщина,Undirected,Учитель,7
Вторая женщина,Undirected,Фотокорреспонденты,4
Вторая женщина,Undirected,Хор,3
Вторая женщина,Undirected,Художник,7
Вторая женщина,Undirected,Четвертый,6
Второй газетчик,Undirected,Гимнаст,1
Второй газетчик,Undirected,Госпожа Илл,12
Второй газетчик,Undirected,Дворецкий Боби,2
Второй газетчик,Undirected,Девятый муж,1
Второй газетчик,Undirected,Дочь Илла,8
Второй газетчик,Undirected,Илл,5
Второй газетчик,Undirected,Клара Цаханассьян,2
Второй газетчик,Undirected,Коби,1
Второй газетчик,Undirected,Кондуктор,1
Второй газетчик,Undirected,Лоби,1
Второй газетчик,Undirected,Начальник станции,4
Второй газетчик,Undirected,Первая женщина,4
Второй газетчик,Undirected,Первый,13
Второй газетчик,Undirected,Первый газетчик,13
Второй газетчик,Undirected,Полицейский,5
Второй газетчик,Undirected,Радиокомментатор,4
Второй газетчик,Undirected,Роби,3
Второй газетчик,Undirected,Священник,5
Второй газетчик,Undirected,Сын Илла,9
Второй газетчик,Undirected,Тоби,3
Второй газетчик,Undirected,Третий,5
Второй газетчик,Undirected,Учитель,12
Второй газетчик,Undirected,Фотокорреспонденты,5
Второй газетчик,Undirected,Хор,3
Второй газетчик,Undirected,Художник,12
Второй газетчик,Undirected,Четвертый,5
Второй,Undirected,Второй газетчик,13
